Date,Item_Name,Day_of_Week,Local_Temperature,Is_Flu_Season,Quantity_Dispensed
2024-02-04,Paracetamol,6,15.8,1,4
2024-02-05,Amoxicillin,0,10.6,1,18
2024-02-05,Bandages,0,10.6,1,9
2024-02-05,Cough Syrup,0,10.6,1,16
2024-02-05,Flu Vaccines,0,10.6,1,35
2024-02-05,Paracetamol,0,10.6,1,45
2024-02-06,Amoxicillin,1,11.4,1,11
2024-02-06,Bandages,1,11.4,1,5
2024-02-06,Cough Syrup,1,11.4,1,30
2024-02-06,Flu Vaccines,1,11.4,1,23
2024-02-06,Paracetamol,1,11.4,1,27
2024-02-07,Amoxicillin,2,14.5,1,16
2024-02-07,Bandages,2,14.5,1,9
2024-02-07,Cough Syrup,2,14.5,1,26
2024-02-07,Flu Vaccines,2,14.5,1,24
2024-02-07,Paracetamol,2,14.5,1,38
2024-02-08,Amoxicillin,3,9.9,1,15
2024-02-08,Bandages,3,9.9,1,11
2024-02-08,Cough Syrup,3,9.9,1,23
2024-02-08,Flu Vaccines,3,9.9,1,28
2024-02-08,Paracetamol,3,9.9,1,42
2024-02-09,Amoxicillin,4,14.1,1,19
2024-02-09,Bandages,4,14.1,1,7
2024-02-09,Cough Syrup,4,14.1,1,25
2024-02-09,Flu Vaccines,4,14.1,1,30
2024-02-09,Paracetamol,4,14.1,1,43
2024-02-10,Amoxicillin,5,10.5,1,10
2024-02-10,Bandages,5,10.5,1,6
2024-02-10,Cough Syrup,5,10.5,1,15
2024-02-10,Flu Vaccines,5,10.5,1,15
2024-02-10,Paracetamol,5,10.5,1,13
2024-02-11,Amoxicillin,6,13.1,1,3
2024-02-11,Bandages,6,13.1,1,1
2024-02-11,Cough Syrup,6,13.1,1,5
2024-02-11,Flu Vaccines,6,13.1,1,5
2024-02-11,Paracetamol,6,13.1,1,5
2024-02-12,Amoxicillin,0,5.9,1,13
2024-02-12,Bandages,0,5.9,1,6
2024-02-12,Cough Syrup,0,5.9,1,27
2024-02-12,Flu Vaccines,0,5.9,1,21
2024-02-12,Paracetamol,0,5.9,1,34
2024-02-13,Amoxicillin,1,7.6,1,16
2024-02-13,Bandages,1,7.6,1,12
2024-02-13,Cough Syrup,1,7.6,1,25
2024-02-13,Flu Vaccines,1,7.6,1,20
2024-02-13,Paracetamol,1,7.6,1,15
2024-02-14,Amoxicillin,2,14.3,1,14
2024-02-14,Bandages,2,14.3,1,5
2024-02-14,Cough Syrup,2,14.3,1,25
2024-02-14,Flu Vaccines,2,14.3,1,24
2024-02-14,Paracetamol,2,14.3,1,29
2024-02-15,Amoxicillin,3,12.6,1,22
2024-02-15,Bandages,3,12.6,1,8
2024-02-15,Cough Syrup,3,12.6,1,24
2024-02-15,Flu Vaccines,3,12.6,1,31
2024-02-15,Paracetamol,3,12.6,1,28
2024-02-16,Amoxicillin,4,10.5,1,11
2024-02-16,Bandages,4,10.5,1,5
2024-02-16,Cough Syrup,4,10.5,1,39
2024-02-16,Flu Vaccines,4,10.5,1,35
2024-02-16,Paracetamol,4,10.5,1,30
2024-02-17,Amoxicillin,5,14.4,1,9
2024-02-17,Bandages,5,14.4,1,3
2024-02-17,Cough Syrup,5,14.4,1,7
2024-02-17,Flu Vaccines,5,14.4,1,12
2024-02-17,Paracetamol,5,14.4,1,31
2024-02-18,Amoxicillin,6,6.2,1,3
2024-02-18,Bandages,6,6.2,1,1
2024-02-18,Cough Syrup,6,6.2,1,3
2024-02-18,Flu Vaccines,6,6.2,1,7
2024-02-18,Paracetamol,6,6.2,1,6
2024-02-19,Amoxicillin,0,3.4,1,24
2024-02-19,Bandages,0,3.4,1,11
2024-02-19,Cough Syrup,0,3.4,1,29
2024-02-19,Flu Vaccines,0,3.4,1,17
2024-02-19,Paracetamol,0,3.4,1,41
2024-02-20,Amoxicillin,1,2.0,1,12
2024-02-20,Bandages,1,2.0,1,7
2024-02-20,Cough Syrup,1,2.0,1,22
2024-02-20,Flu Vaccines,1,2.0,1,24
2024-02-20,Paracetamol,1,2.0,1,30
2024-02-21,Amoxicillin,2,10.6,1,17
2024-02-21,Bandages,2,10.6,1,5
2024-02-21,Cough Syrup,2,10.6,1,31
2024-02-21,Flu Vaccines,2,10.6,1,17
2024-02-21,Paracetamol,2,10.6,1,37
2024-02-22,Amoxicillin,3,17.8,1,15
2024-02-22,Bandages,3,17.8,1,10
2024-02-22,Cough Syrup,3,17.8,1,30
2024-02-22,Flu Vaccines,3,17.8,1,37
2024-02-22,Paracetamol,3,17.8,1,41
2024-02-23,Amoxicillin,4,13.2,1,21
2024-02-23,Bandages,4,13.2,1,1
2024-02-23,Cough Syrup,4,13.2,1,12
2024-02-23,Flu Vaccines,4,13.2,1,33
2024-02-23,Paracetamol,4,13.2,1,20
2024-02-24,Amoxicillin,5,8.7,1,11
2024-02-24,Bandages,5,8.7,1,4
2024-02-24,Cough Syrup,5,8.7,1,6
2024-02-24,Flu Vaccines,5,8.7,1,21
2024-02-24,Paracetamol,5,8.7,1,27
2024-02-25,Amoxicillin,6,11.9,1,2
2024-02-25,Bandages,6,11.9,1,1
2024-02-25,Cough Syrup,6,11.9,1,5
2024-02-25,Flu Vaccines,6,11.9,1,4
2024-02-25,Paracetamol,6,11.9,1,1
2024-02-26,Amoxicillin,0,7.4,1,9
2024-02-26,Bandages,0,7.4,1,5
2024-02-26,Cough Syrup,0,7.4,1,24
2024-02-26,Flu Vaccines,0,7.4,1,23
2024-02-26,Paracetamol,0,7.4,1,29
2024-02-27,Amoxicillin,1,9.5,1,9
2024-02-27,Bandages,1,9.5,1,8
2024-02-27,Cough Syrup,1,9.5,1,21
2024-02-27,Flu Vaccines,1,9.5,1,34
2024-02-27,Paracetamol,1,9.5,1,24
2024-02-28,Amoxicillin,2,9.4,1,13
2024-02-28,Bandages,2,9.4,1,1
2024-02-28,Cough Syrup,2,9.4,1,21
2024-02-28,Flu Vaccines,2,9.4,1,25
2024-02-28,Paracetamol,2,9.4,1,36
2024-02-29,Amoxicillin,3,2.4,1,21
2024-02-29,Bandages,3,2.4,1,11
2024-02-29,Cough Syrup,3,2.4,1,41
2024-02-29,Flu Vaccines,3,2.4,1,29
2024-02-29,Paracetamol,3,2.4,1,46
2024-03-01,Amoxicillin,4,19.2,0,10
2024-03-01,Bandages,4,19.2,0,3
2024-03-01,Cough Syrup,4,19.2,0,6
2024-03-01,Flu Vaccines,4,19.2,0,2
2024-03-01,Paracetamol,4,19.2,0,13
2024-03-02,Amoxicillin,5,16.1,0,5
2024-03-02,Bandages,5,16.1,0,7
2024-03-02,Cough Syrup,5,16.1,0,5
2024-03-02,Flu Vaccines,5,16.1,0,2
2024-03-02,Paracetamol,5,16.1,0,28
2024-03-03,Amoxicillin,6,20.5,0,2
2024-03-03,Bandages,6,20.5,0,1
2024-03-03,Cough Syrup,6,20.5,0,1
2024-03-03,Flu Vaccines,6,20.5,0,0
2024-03-03,Paracetamol,6,20.5,0,9
2024-03-04,Amoxicillin,0,14.7,0,8
2024-03-04,Bandages,0,14.7,0,9
2024-03-04,Cough Syrup,0,14.7,0,4
2024-03-04,Flu Vaccines,0,14.7,0,5
2024-03-04,Paracetamol,0,14.7,0,39
2024-03-05,Amoxicillin,1,16.1,0,12
2024-03-05,Bandages,1,16.1,0,5
2024-03-05,Cough Syrup,1,16.1,0,10
2024-03-05,Flu Vaccines,1,16.1,0,0
2024-03-05,Paracetamol,1,16.1,0,24
2024-03-06,Amoxicillin,2,21.6,0,14
2024-03-06,Bandages,2,21.6,0,10
2024-03-06,Cough Syrup,2,21.6,0,7
2024-03-06,Flu Vaccines,2,21.6,0,0
2024-03-06,Paracetamol,2,21.6,0,27
2024-03-07,Amoxicillin,3,23.0,0,10
2024-03-07,Bandages,3,23.0,0,9
2024-03-07,Cough Syrup,3,23.0,0,3
2024-03-07,Flu Vaccines,3,23.0,0,3
2024-03-07,Paracetamol,3,23.0,0,30
2024-03-08,Amoxicillin,4,16.0,0,17
2024-03-08,Bandages,4,16.0,0,8
2024-03-08,Cough Syrup,4,16.0,0,3
2024-03-08,Flu Vaccines,4,16.0,0,0
2024-03-08,Paracetamol,4,16.0,0,22
2024-03-09,Amoxicillin,5,21.6,0,6
2024-03-09,Bandages,5,21.6,0,2
2024-03-09,Cough Syrup,5,21.6,0,5
2024-03-09,Flu Vaccines,5,21.6,0,0
2024-03-09,Paracetamol,5,21.6,0,21
2024-03-10,Amoxicillin,6,16.1,0,3
2024-03-10,Bandages,6,16.1,0,1
2024-03-10,Cough Syrup,6,16.1,0,2
2024-03-10,Flu Vaccines,6,16.1,0,0
2024-03-10,Paracetamol,6,16.1,0,4
2024-03-11,Amoxicillin,0,25.0,0,9
2024-03-11,Bandages,0,25.0,0,5
2024-03-11,Cough Syrup,0,25.0,0,0
2024-03-11,Flu Vaccines,0,25.0,0,4
2024-03-11,Paracetamol,0,25.0,0,35
2024-03-12,Amoxicillin,1,23.5,0,13
2024-03-12,Bandages,1,23.5,0,7
2024-03-12,Cough Syrup,1,23.5,0,10
2024-03-12,Flu Vaccines,1,23.5,0,0
2024-03-12,Paracetamol,1,23.5,0,33
2024-03-13,Amoxicillin,2,27.0,0,16
2024-03-13,Bandages,2,27.0,0,6
2024-03-13,Cough Syrup,2,27.0,0,8
2024-03-13,Flu Vaccines,2,27.0,0,1
2024-03-13,Paracetamol,2,27.0,0,33
2024-03-14,Amoxicillin,3,22.4,0,12
2024-03-14,Bandages,3,22.4,0,7
2024-03-14,Cough Syrup,3,22.4,0,13
2024-03-14,Flu Vaccines,3,22.4,0,6
2024-03-14,Paracetamol,3,22.4,0,32
2024-03-15,Amoxicillin,4,27.2,0,12
2024-03-15,Bandages,4,27.2,0,6
2024-03-15,Cough Syrup,4,27.2,0,2
2024-03-15,Flu Vaccines,4,27.2,0,0
2024-03-15,Paracetamol,4,27.2,0,9
2024-03-16,Amoxicillin,5,20.1,0,14
2024-03-16,Bandages,5,20.1,0,0
2024-03-16,Cough Syrup,5,20.1,0,7
2024-03-16,Flu Vaccines,5,20.1,0,0
2024-03-16,Paracetamol,5,20.1,0,19
2024-03-17,Amoxicillin,6,21.4,0,3
2024-03-17,Bandages,6,21.4,0,1
2024-03-17,Cough Syrup,6,21.4,0,2
2024-03-17,Flu Vaccines,6,21.4,0,0
2024-03-17,Paracetamol,6,21.4,0,3
2024-03-18,Amoxicillin,0,23.8,0,26
2024-03-18,Bandages,0,23.8,0,5
2024-03-18,Cough Syrup,0,23.8,0,8
2024-03-18,Flu Vaccines,0,23.8,0,2
2024-03-18,Paracetamol,0,23.8,0,31
2024-03-19,Amoxicillin,1,25.0,0,10
2024-03-19,Bandages,1,25.0,0,9
2024-03-19,Cough Syrup,1,25.0,0,11
2024-03-19,Flu Vaccines,1,25.0,0,1
2024-03-19,Paracetamol,1,25.0,0,30
2024-03-20,Amoxicillin,2,26.2,0,12
2024-03-20,Bandages,2,26.2,0,9
2024-03-20,Cough Syrup,2,26.2,0,8
2024-03-20,Flu Vaccines,2,26.2,0,0
2024-03-20,Paracetamol,2,26.2,0,27
2024-03-21,Amoxicillin,3,24.5,0,10
2024-03-21,Bandages,3,24.5,0,13
2024-03-21,Cough Syrup,3,24.5,0,11
2024-03-21,Flu Vaccines,3,24.5,0,4
2024-03-21,Paracetamol,3,24.5,0,38
2024-03-22,Amoxicillin,4,15.4,0,8
2024-03-22,Bandages,4,15.4,0,7
2024-03-22,Cough Syrup,4,15.4,0,12
2024-03-22,Flu Vaccines,4,15.4,0,4
2024-03-22,Paracetamol,4,15.4,0,12
2024-03-23,Amoxicillin,5,21.7,0,5
2024-03-23,Bandages,5,21.7,0,6
2024-03-23,Cough Syrup,5,21.7,0,6
2024-03-23,Flu Vaccines,5,21.7,0,1
2024-03-23,Paracetamol,5,21.7,0,32
2024-03-24,Amoxicillin,6,22.9,0,3
2024-03-24,Bandages,6,22.9,0,2
2024-03-24,Cough Syrup,6,22.9,0,3
2024-03-24,Flu Vaccines,6,22.9,0,0
2024-03-24,Paracetamol,6,22.9,0,4
2024-03-25,Amoxicillin,0,29.6,0,12
2024-03-25,Bandages,0,29.6,0,11
2024-03-25,Cough Syrup,0,29.6,0,10
2024-03-25,Flu Vaccines,0,29.6,0,1
2024-03-25,Paracetamol,0,29.6,0,20
2024-03-26,Amoxicillin,1,9.8,0,22
2024-03-26,Bandages,1,9.8,0,3
2024-03-26,Cough Syrup,1,9.8,0,5
2024-03-26,Flu Vaccines,1,9.8,0,1
2024-03-26,Paracetamol,1,9.8,0,28
2024-03-27,Amoxicillin,2,24.9,0,15
2024-03-27,Bandages,2,24.9,0,13
2024-03-27,Cough Syrup,2,24.9,0,8
2024-03-27,Flu Vaccines,2,24.9,0,0
2024-03-27,Paracetamol,2,24.9,0,17
2024-03-28,Amoxicillin,3,18.4,0,7
2024-03-28,Bandages,3,18.4,0,7
2024-03-28,Cough Syrup,3,18.4,0,0
2024-03-28,Flu Vaccines,3,18.4,0,1
2024-03-28,Paracetamol,3,18.4,0,27
2024-03-29,Amoxicillin,4,18.6,0,18
2024-03-29,Bandages,4,18.6,0,4
2024-03-29,Cough Syrup,4,18.6,0,8
2024-03-29,Flu Vaccines,4,18.6,0,4
2024-03-29,Paracetamol,4,18.6,0,48
2024-03-30,Amoxicillin,5,35.4,0,9
2024-03-30,Bandages,5,35.4,0,4
2024-03-30,Cough Syrup,5,35.4,0,6
2024-03-30,Flu Vaccines,5,35.4,0,1
2024-03-30,Paracetamol,5,35.4,0,18
2024-03-31,Amoxicillin,6,16.6,0,2
2024-03-31,Bandages,6,16.6,0,1
2024-03-31,Cough Syrup,6,16.6,0,1
2024-03-31,Flu Vaccines,6,16.6,0,0
2024-03-31,Paracetamol,6,16.6,0,5
2024-04-01,Amoxicillin,0,18.5,0,22
2024-04-01,Bandages,0,18.5,0,1
2024-04-01,Cough Syrup,0,18.5,0,14
2024-04-01,Flu Vaccines,0,18.5,0,4
2024-04-01,Paracetamol,0,18.5,0,3
2024-04-02,Amoxicillin,1,17.9,0,13
2024-04-02,Bandages,1,17.9,0,13
2024-04-02,Cough Syrup,1,17.9,0,5
2024-04-02,Flu Vaccines,1,17.9,0,0
2024-04-02,Paracetamol,1,17.9,0,15
2024-04-03,Amoxicillin,2,25.6,0,21
2024-04-03,Bandages,2,25.6,0,9
2024-04-03,Cough Syrup,2,25.6,0,7
2024-04-03,Flu Vaccines,2,25.6,0,0
2024-04-03,Paracetamol,2,25.6,0,37
2024-04-04,Amoxicillin,3,12.7,0,18
2024-04-04,Bandages,3,12.7,0,9
2024-04-04,Cough Syrup,3,12.7,0,12
2024-04-04,Flu Vaccines,3,12.7,0,1
2024-04-04,Paracetamol,3,12.7,0,27
2024-04-05,Amoxicillin,4,17.8,0,20
2024-04-05,Bandages,4,17.8,0,7
2024-04-05,Cough Syrup,4,17.8,0,12
2024-04-05,Flu Vaccines,4,17.8,0,3
2024-04-05,Paracetamol,4,17.8,0,19
2024-04-06,Amoxicillin,5,22.0,0,5
2024-04-06,Bandages,5,22.0,0,6
2024-04-06,Cough Syrup,5,22.0,0,4
2024-04-06,Flu Vaccines,5,22.0,0,0
2024-04-06,Paracetamol,5,22.0,0,23
2024-04-07,Amoxicillin,6,15.8,0,1
2024-04-07,Bandages,6,15.8,0,2
2024-04-07,Cough Syrup,6,15.8,0,0
2024-04-07,Flu Vaccines,6,15.8,0,0
2024-04-07,Paracetamol,6,15.8,0,2
2024-04-08,Amoxicillin,0,7.5,0,23
2024-04-08,Bandages,0,7.5,0,9
2024-04-08,Cough Syrup,0,7.5,0,7
2024-04-08,Flu Vaccines,0,7.5,0,1
2024-04-08,Paracetamol,0,7.5,0,32
2024-04-09,Amoxicillin,1,19.8,0,20
2024-04-09,Bandages,1,19.8,0,7
2024-04-09,Cough Syrup,1,19.8,0,8
2024-04-09,Flu Vaccines,1,19.8,0,2
2024-04-09,Paracetamol,1,19.8,0,31
2024-04-10,Amoxicillin,2,21.8,0,6
2024-04-10,Bandages,2,21.8,0,7
2024-04-10,Cough Syrup,2,21.8,0,10
2024-04-10,Flu Vaccines,2,21.8,0,3
2024-04-10,Paracetamol,2,21.8,0,16
2024-04-11,Amoxicillin,3,20.1,0,16
2024-04-11,Bandages,3,20.1,0,5
2024-04-11,Cough Syrup,3,20.1,0,10
2024-04-11,Flu Vaccines,3,20.1,0,0
2024-04-11,Paracetamol,3,20.1,0,24
2024-04-12,Amoxicillin,4,22.4,0,6
2024-04-12,Bandages,4,22.4,0,10
2024-04-12,Cough Syrup,4,22.4,0,11
2024-04-12,Flu Vaccines,4,22.4,0,2
2024-04-12,Paracetamol,4,22.4,0,40
2024-04-13,Amoxicillin,5,30.0,0,12
2024-04-13,Bandages,5,30.0,0,4
2024-04-13,Cough Syrup,5,30.0,0,4
2024-04-13,Flu Vaccines,5,30.0,0,0
2024-04-13,Paracetamol,5,30.0,0,6
2024-04-14,Amoxicillin,6,23.1,0,2
2024-04-14,Bandages,6,23.1,0,0
2024-04-14,Cough Syrup,6,23.1,0,1
2024-04-14,Flu Vaccines,6,23.1,0,0
2024-04-14,Paracetamol,6,23.1,0,6
2024-04-15,Amoxicillin,0,14.5,0,8
2024-04-15,Bandages,0,14.5,0,15
2024-04-15,Cough Syrup,0,14.5,0,6
2024-04-15,Flu Vaccines,0,14.5,0,4
2024-04-15,Paracetamol,0,14.5,0,20
2024-04-16,Amoxicillin,1,23.0,0,15
2024-04-16,Bandages,1,23.0,0,8
2024-04-16,Cough Syrup,1,23.0,0,7
2024-04-16,Flu Vaccines,1,23.0,0,3
2024-04-16,Paracetamol,1,23.0,0,21
2024-04-17,Amoxicillin,2,35.4,0,14
2024-04-17,Bandages,2,35.4,0,13
2024-04-17,Cough Syrup,2,35.4,0,9
2024-04-17,Flu Vaccines,2,35.4,0,0
2024-04-17,Paracetamol,2,35.4,0,41
2024-04-18,Amoxicillin,3,16.2,0,24
2024-04-18,Bandages,3,16.2,0,10
2024-04-18,Cough Syrup,3,16.2,0,12
2024-04-18,Flu Vaccines,3,16.2,0,0
2024-04-18,Paracetamol,3,16.2,0,37
2024-04-19,Amoxicillin,4,23.7,0,7
2024-04-19,Bandages,4,23.7,0,9
2024-04-19,Cough Syrup,4,23.7,0,9
2024-04-19,Flu Vaccines,4,23.7,0,1
2024-04-19,Paracetamol,4,23.7,0,22
2024-04-20,Amoxicillin,5,21.1,0,4
2024-04-20,Bandages,5,21.1,0,6
2024-04-20,Cough Syrup,5,21.1,0,7
2024-04-20,Flu Vaccines,5,21.1,0,1
2024-04-20,Paracetamol,5,21.1,0,20
2024-04-21,Amoxicillin,6,25.0,0,3
2024-04-21,Bandages,6,25.0,0,1
2024-04-21,Cough Syrup,6,25.0,0,2
2024-04-21,Flu Vaccines,6,25.0,0,0
2024-04-21,Paracetamol,6,25.0,0,5
2024-04-22,Amoxicillin,0,21.6,0,8
2024-04-22,Bandages,0,21.6,0,10
2024-04-22,Cough Syrup,0,21.6,0,9
2024-04-22,Flu Vaccines,0,21.6,0,4
2024-04-22,Paracetamol,0,21.6,0,19
2024-04-23,Amoxicillin,1,20.2,0,15
2024-04-23,Bandages,1,20.2,0,6
2024-04-23,Cough Syrup,1,20.2,0,10
2024-04-23,Flu Vaccines,1,20.2,0,0
2024-04-23,Paracetamol,1,20.2,0,39
